layer,head,head_id,correlation,rank
28,10,L28H10,0.11822105679486072,248
14,5,L14H5,0.1151236211334992,249
14,19,L14H19,0.11509639911145134,250
32,31,L32H31,0.11495422143028108,251
12,3,L12H3,0.11460501346605849,252
23,22,L23H22,0.11390283240766211,253
16,25,L16H25,0.1138486330279505,254
13,13,L13H13,0.11384861291140647,255
16,4,L16H4,0.11381321116721377,256
35,27,L35H27,0.11350667372504578,257
24,26,L24H26,0.11329675517796187,258
5,3,L5H3,0.11194624542800799,259
11,12,L11H12,0.11156432404021663,260
16,20,L16H20,0.11123667998273627,261
19,4,L19H4,0.11040739009228655,262
34,13,L34H13,0.11016491605639708,263
23,11,L23H11,0.1096017489282207,264
35,16,L35H16,0.10956122896019686,265
27,2,L27H2,0.1094872149898545,266
8,15,L8H15,0.10852484675230992,267
8,7,L8H7,0.10845740893802289,268
13,27,L13H27,0.10819713870505995,269
12,7,L12H7,0.1076967240277483,270
1,25,L1H25,0.10765053555322368,271
1,26,L1H26,0.10726892266448063,272
22,10,L22H10,0.10592158350642256,273
27,30,L27H30,0.10503594973588878,274
26,8,L26H8,0.10498433864313501,275
13,22,L13H22,0.10454227712411675,276
16,2,L16H2,0.10430980912451167,277
14,10,L14H10,0.10425739439294586,278
12,26,L12H26,0.10424699792283976,279
32,28,L32H28,0.1024325322124369,280
12,28,L12H28,0.10241255006395952,281
14,16,L14H16,0.10235951347173158,282
24,13,L24H13,0.10199361148120527,283
19,6,L19H6,0.10154093926603577,284
30,0,L30H0,0.10091001322046025,285
26,18,L26H18,0.10033861545963144,286
12,16,L12H16,0.10020919854052227,287
16,17,L16H17,0.10019089958756469,288
12,1,L12H1,0.09977924450908751,289
12,30,L12H30,0.09917817726354461,290
9,15,L9H15,0.09908793308004896,291
13,17,L13H17,0.09892561181815321,292
13,21,L13H21,0.09842145935090471,293
12,19,L12H19,0.0982422694010513,294
19,16,L19H16,0.09751560742781612,295
23,5,L23H5,0.09720955377872273,296
28,8,L28H8,0.09717783035874933,297
32,30,L32H30,0.09651886227141968,298
2,19,L2H19,0.0964759692879849,299
0,21,L0H21,0.09645440107610855,300
19,8,L19H8,0.09613744098580053,301
23,15,L23H15,0.09610639682324446,302
2,4,L2H4,0.09599630722057269,303
3,29,L3H29,0.09595767776953079,304
32,15,L32H15,0.09593612068308315,305
3,31,L3H31,0.09581640289659236,306
24,9,L24H9,0.09572778937651785,307
30,21,L30H21,0.0956568990574872,308
28,0,L28H0,0.09552471814997578,309
23,20,L23H20,0.09552013626776991,310
22,21,L22H21,0.09551399802673292,311
17,21,L17H21,0.09494616495310436,312
28,25,L28H25,0.09449471040738848,313
11,6,L11H6,0.0941611115510407,314
32,29,L32H29,0.09343341157956099,315
2,12,L2H12,0.09278435211228699,316
28,9,L28H9,0.09267028045334837,317
27,29,L27H29,0.09179977859114455,318
